n_agents,n_prices,memory,n_steps,convergence_check_window,alpha,gamma,beta,seed,delta,avg_profit_mean,p_nash,p_monop
2,15,1,100000,15000,0.5,0.95,4e-06,4,0.346815320264902,0.263501463027377,1.476,1.924
2,5,2,100000,15000,0.05,0.95,0.0001,0,0.7835193445858653,0.31296830903476197,1.476,1.924
2,5,2,100000,15000,0.05,0.95,0.0001,1,0.23828864463034627,0.25120830323876386,1.476,1.924
2,5,2,100000,15000,0.05,0.95,0.0001,2,0.21951686851256463,0.24908196478803107,1.476,1.924
2,5,2,100000,15000,0.05,0.95,0.0001,3,0.046021631514821526,0.22942961057644168,1.476,1.924
2,5,2,100000,15000,0.05,0.95,0.0001,4,0.24239892473000618,0.2516738876653174,1.476,1.924
3,20,1,100000,15000,0.15,0.95,1e-06,0,0.321461210531937,0.16228927432569526,1.3719999999999999,2.0
3,20,1,100000,15000,0.15,0.95,1e-06,1,0.32195911714698605,0.16235363579065767,1.3719999999999999,2.0
3,20,1,100000,15000,0.15,0.95,1e-06,2,0.32383099607328325,0.16259560258982722,1.3719999999999999,2.0
3,20,1,100000,15000,0.15,0.95,1e-06,3,0.32079961172631766,0.16220375333227996,1.3719999999999999,2.0
3,20,1,100000,15000,0.15,0.95,1e-06,4,0.31961916706559423,0.16205116418127272,1.3719999999999999,2.0
2,15,1,100000,15000,0.3,0.95,2e-05,0,0.2821998791052317,0.2561822676466734,1.476,1.924
2,15,1,100000,15000,0.3,0.95,2e-05,1,0.31865898548649263,0.26031210593642357,1.476,1.924
4,10,1,100000,15000,0.15,0.95,2e-05,0,0.1082032212928957,0.09452178437551736,1.332,2.056
4,10,1,100000,15000,0.15,0.95,2e-05,1,0.10665371488329589,0.094336600407273,1.332,2.056
4,10,1,100000,15000,0.15,0.95,2e-05,2,0.09562829764606826,0.09301893530896149,1.332,2.056
2,15,1,100000,15000,0.3,0.95,2e-05,2,0.30266202957462474,0.258500080146394,1.476,1.924
4,10,1,100000,15000,0.15,0.95,2e-05,3,0.09813594345093865,0.09331862803576807,1.332,2.056
4,10,1,100000,15000,0.15,0.95,2e-05,4,0.10270126115870255,0.09386423639477985,1.332,2.056
2,15,1,100000,15000,0.3,0.95,2e-05,4,0.25617802881398716,0.2532346903643579,1.476,1.924
2,15,1,100000,15000,0.3,0.95,2e-05,3,0.2515022645351085,0.25270505175635616,1.476,1.924
3,5,2,100000,15000,0.5,0.95,0.0001,0,-0.16304524446578564,0.09965996938197942,1.3719999999999999,2.0
3,5,2,100000,15000,0.5,0.95,0.0001,1,-0.028071291160254204,0.11710725990583988,1.3719999999999999,2.0
3,5,2,100000,15000,0.5,0.95,0.0001,2,-0.07411191924939181,0.11115585821314546,1.3719999999999999,2.0
3,5,2,100000,15000,0.5,0.95,0.0001,3,0.014778398601352438,0.1226461877346464,1.3719999999999999,2.0
2,10,2,100000,15000,0.3,0.95,4e-06,0,0.321296684446188,0.2606108864398915,1.476,1.924
3,5,2,100000,15000,0.5,0.95,0.0001,4,-0.19122029582394015,0.09601794590610435,1.3719999999999999,2.0
2,10,2,100000,15000,0.3,0.95,4e-06,1,0.3200967843973925,0.26047496996641656,1.476,1.924
2,10,2,100000,15000,0.3,0.95,4e-06,2,0.316324168984597,0.260047633886883,1.476,1.924
2,10,2,100000,15000,0.3,0.95,4e-06,3,0.31910597992288864,0.2603627384099524,1.476,1.924
2,10,2,100000,15000,0.3,0.95,4e-06,4,0.31801596376583857,0.26023926883242743,1.476,1.924
3,15,1,100000,15000,0.5,0.95,1e-06,0,0.3102335439374996,0.16083793978165353,1.3719999999999999,2.0
3,15,1,100000,15000,0.5,0.95,1e-06,3,0.31104735356330837,0.16094313617417869,1.3719999999999999,2.0
